Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,Sepal.diff,Sepal.LW,Sepal.Area
5,3.2,1.2,0.2,setosa,1.7999999999999998,1.5625,16
5.5,3.5,1.3,0.2,setosa,2,1.5714285714285714,19.25
4.9,3.6,1.4,0.1,setosa,1.3000000000000003,1.3611111111111112,17.64
4.4,3,1.3,0.2,setosa,1.4000000000000004,1.4666666666666668,13.200000000000001
5.1,3.4,1.5,0.2,setosa,1.6999999999999997,1.5,17.34
5,3.5,1.3,0.3,setosa,1.5,1.4285714285714286,17.5
4.5,2.3,1.3,0.3,setosa,2.2,1.956521739130435,10.35
4.4,3.2,1.3,0.2,setosa,1.2000000000000002,1.375,14.080000000000002
5,3.5,1.6,0.6,setosa,1.5,1.4285714285714286,17.5
5.1,3.8,1.9,0.4,setosa,1.2999999999999998,1.3421052631578947,19.38
4.8,3,1.4,0.3,setosa,1.7999999999999998,1.5999999999999999,14.399999999999999
5.1,3.8,1.6,0.2,setosa,1.2999999999999998,1.3421052631578947,19.38
4.6,3.2,1.4,0.2,setosa,1.3999999999999995,1.4374999999999998,14.719999999999999
5.3,3.7,1.5,0.2,setosa,1.5999999999999996,1.4324324324324322,19.61
5,3.3,1.4,0.2,setosa,1.7000000000000002,1.5151515151515151,16.5
7,3.2,4.7,1.4,versicolor,3.8,2.1875,22.400000000000002
6.4,3.2,4.5,1.5,versicolor,3.2,2,20.480000000000004
6.9,3.1,4.9,1.5,versicolor,3.8000000000000003,2.2258064516129035,21.39
5.5,2.3,4,1.3,versicolor,3.2,2.3913043478260874,12.649999999999999
6.5,2.8,4.6,1.5,versicolor,3.7,2.3214285714285716,18.2
5.7,2.8,4.5,1.3,versicolor,2.9000000000000004,2.035714285714286,15.959999999999999
6.3,3.3,4.7,1.6,versicolor,3,1.9090909090909092,20.79
4.9,2.4,3.3,1,versicolor,2.5000000000000004,2.041666666666667,11.76
6.6,2.9,4.6,1.3,versicolor,3.6999999999999997,2.2758620689655173,19.139999999999997
5.2,2.7,3.9,1.4,versicolor,2.5,1.9259259259259258,14.040000000000001
5,2,3.5,1,versicolor,3,2.5,10
5.9,3,4.2,1.5,versicolor,2.9000000000000004,1.9666666666666668,17.700000000000003
6,2.2,4,1,versicolor,3.8,2.727272727272727,13.200000000000001
6.1,2.9,4.7,1.4,versicolor,3.1999999999999997,2.103448275862069,17.689999999999998
5.6,2.9,3.6,1.3,versicolor,2.6999999999999997,1.9310344827586206,16.24
6.7,3.1,4.4,1.4,versicolor,3.6,2.161290322580645,20.77
5.6,3,4.5,1.5,versicolor,2.5999999999999996,1.8666666666666665,16.799999999999997
5.8,2.7,4.1,1,versicolor,3.0999999999999996,2.148148148148148,15.66
6.2,2.2,4.5,1.5,versicolor,4,2.818181818181818,13.640000000000002
5.6,2.5,3.9,1.1,versicolor,3.0999999999999996,2.2399999999999998,14
5.9,3.2,4.8,1.8,versicolor,2.7,1.84375,18.880000000000003
6.1,2.8,4,1.3,versicolor,3.3,2.1785714285714284,17.08
6.3,2.5,4.9,1.5,versicolor,3.8,2.52,15.75
6.1,2.8,4.7,1.2,versicolor,3.3,2.1785714285714284,17.08
6.4,2.9,4.3,1.3,versicolor,3.5000000000000004,2.206896551724138,18.56
6.6,3,4.4,1.4,versicolor,3.5999999999999996,2.1999999999999997,19.799999999999997
6.8,2.8,4.8,1.4,versicolor,4,2.428571428571429,19.04
6.7,3,5,1.7,versicolor,3.7,2.2333333333333334,20.1
6,2.9,4.5,1.5,versicolor,3.1,2.0689655172413794,17.4
5.7,2.6,3.5,1,versicolor,3.1,2.1923076923076925,14.82
5.5,2.4,3.8,1.1,versicolor,3.1,2.291666666666667,13.2
5.5,2.4,3.7,1,versicolor,3.1,2.291666666666667,13.2
5.8,2.7,3.9,1.2,versicolor,3.0999999999999996,2.148148148148148,15.66
6,2.7,5.1,1.6,versicolor,3.3,2.222222222222222,16.200000000000003
5.4,3,4.5,1.5,versicolor,2.4000000000000004,1.8,16.200000000000003
6,3.4,4.5,1.6,versicolor,2.6,1.7647058823529411,20.4
6.7,3.1,4.7,1.5,versicolor,3.6,2.161290322580645,20.77
6.3,2.3,4.4,1.3,versicolor,4,2.739130434782609,14.489999999999998
5.6,3,4.1,1.3,versicolor,2.5999999999999996,1.8666666666666665,16.799999999999997
5.5,2.5,4,1.3,versicolor,3,2.2,13.75
5.5,2.6,4.4,1.2,versicolor,2.9,2.1153846153846154,14.3
6.1,3,4.6,1.4,versicolor,3.0999999999999996,2.033333333333333,18.299999999999997
5.8,2.6,4,1.2,versicolor,3.1999999999999997,2.230769230769231,15.08
5,2.3,3.3,1,versicolor,2.7,2.173913043478261,11.5
5.6,2.7,4.2,1.3,versicolor,2.8999999999999995,2.074074074074074,15.12
5.7,3,4.2,1.2,versicolor,2.7,1.9000000000000001,17.1
5.7,2.9,4.2,1.3,versicolor,2.8000000000000003,1.9655172413793105,16.53
6.2,2.9,4.3,1.3,versicolor,3.3000000000000003,2.137931034482759,17.98
5.1,2.5,3,1.1,versicolor,2.5999999999999996,2.04,12.75
5.7,2.8,4.1,1.3,versicolor,2.9000000000000004,2.035714285714286,15.959999999999999
6.3,3.3,6,2.5,virginica,3,1.9090909090909092,20.79
5.8,2.7,5.1,1.9,virginica,3.0999999999999996,2.148148148148148,15.66
7.1,3,5.9,2.1,virginica,4.1,2.3666666666666667,21.299999999999997
6.3,2.9,5.6,1.8,virginica,3.4,2.1724137931034484,18.27
6.5,3,5.8,2.2,virginica,3.5,2.1666666666666665,19.5
7.6,3,6.6,2.1,virginica,4.6,2.533333333333333,22.799999999999997
4.9,2.5,4.5,1.7,virginica,2.4000000000000004,1.9600000000000002,12.25
7.3,2.9,6.3,1.8,virginica,4.4,2.5172413793103448,21.169999999999998
6.7,2.5,5.8,1.8,virginica,4.2,2.68,16.75
7.2,3.6,6.1,2.5,virginica,3.6,2,25.92
6.5,3.2,5.1,2,virginica,3.3,2.03125,20.8
6.4,2.7,5.3,1.9,virginica,3.7,2.3703703703703702,17.28
6.8,3,5.5,2.1,virginica,3.8,2.2666666666666666,20.4
5.7,2.5,5,2,virginica,3.2,2.2800000000000002,14.25
5.8,2.8,5.1,2.4,virginica,3,2.0714285714285716,16.24
6.4,3.2,5.3,2.3,virginica,3.2,2,20.480000000000004
6.5,3,5.5,1.8,virginica,3.5,2.1666666666666665,19.5
7.7,3.8,6.7,2.2,virginica,3.9000000000000004,2.0263157894736845,29.259999999999998
7.7,2.6,6.9,2.3,virginica,5.1,2.9615384615384617,20.02
6,2.2,5,1.5,virginica,3.8,2.727272727272727,13.200000000000001
6.9,3.2,5.7,2.3,virginica,3.7,2.15625,22.080000000000002
5.6,2.8,4.9,2,virginica,2.8,2,15.679999999999998
7.7,2.8,6.7,2,virginica,4.9,2.7500000000000004,21.56
6.3,2.7,4.9,1.8,virginica,3.5999999999999996,2.333333333333333,17.01
6.7,3.3,5.7,2.1,virginica,3.4000000000000004,2.0303030303030303,22.11
7.2,3.2,6,1.8,virginica,4,2.25,23.040000000000003
6.2,2.8,4.8,1.8,virginica,3.4000000000000004,2.2142857142857144,17.36
6.1,3,4.9,1.8,virginica,3.0999999999999996,2.033333333333333,18.299999999999997
6.4,2.8,5.6,2.1,virginica,3.6000000000000005,2.285714285714286,17.919999999999998
7.2,3,5.8,1.6,virginica,4.2,2.4,21.6
7.4,2.8,6.1,1.9,virginica,4.6000000000000005,2.6428571428571432,20.72
7.9,3.8,6.4,2,virginica,4.1000000000000005,2.0789473684210527,30.02
6.4,2.8,5.6,2.2,virginica,3.6000000000000005,2.285714285714286,17.919999999999998
6.3,2.8,5.1,1.5,virginica,3.5,2.25,17.639999999999997
6.1,2.6,5.6,1.4,virginica,3.4999999999999996,2.346153846153846,15.86
7.7,3,6.1,2.3,virginica,4.7,2.566666666666667,23.1
6.3,3.4,5.6,2.4,virginica,2.9,1.8529411764705883,21.419999999999998
6.4,3.1,5.5,1.8,virginica,3.3000000000000003,2.064516129032258,19.840000000000003
6,3,4.8,1.8,virginica,3,2,18
6.9,3.1,5.4,2.1,virginica,3.8000000000000003,2.2258064516129035,21.39
6.7,3.1,5.6,2.4,virginica,3.6,2.161290322580645,20.77
6.9,3.1,5.1,2.3,virginica,3.8000000000000003,2.2258064516129035,21.39
5.8,2.7,5.1,1.9,virginica,3.0999999999999996,2.148148148148148,15.66
6.8,3.2,5.9,2.3,virginica,3.5999999999999996,2.125,21.76
6.7,3.3,5.7,2.5,virginica,3.4000000000000004,2.0303030303030303,22.11
6.7,3,5.2,2.3,virginica,3.7,2.2333333333333334,20.1
6.3,2.5,5,1.9,virginica,3.8,2.52,15.75
6.5,3,5.2,2,virginica,3.5,2.1666666666666665,19.5
6.2,3.4,5.4,2.3,virginica,2.8000000000000003,1.823529411764706,21.08
5.9,3,5.1,1.8,virginica,2.9000000000000004,1.9666666666666668,17.700000000000003
